Date,Vegetables,Meat,Fruits,Seafood
1-Jul-21,0.113666673,0.30385181,0.058906505,0.086950759
2-Jul-21,0.107876275,0.283706852,0.060556622,0.089429649
3-Jul-21,0.115583726,0.28057907,0.064353768,0.091852559
4-Jul-21,0.108115409,0.287054373,0.056691921,0.089964705
5-Jul-21,0.104577407,0.290578959,0.061578477,0.092421865
6-Jul-21,0.113337974,0.289456338,0.056128217,0.089610802
7-Jul-21,0.108865407,0.285995928,0.060083402,0.089455807
8-Jul-21,0.11262786,0.277257801,0.056329666,0.086322309
9-Jul-21,0.108276869,0.294645397,0.058155281,0.090701382
10-Jul-21,0.106761396,0.283920629,0.061521644,0.086351623
11-Jul-21,0.106011192,0.29009739,0.058423587,0.089361799
12-Jul-21,0.116538742,0.28504242,0.06043146,0.092712349
13-Jul-21,0.102958052,0.291308244,0.058764094,0.090658161
14-Jul-21,0.112851641,0.281322777,0.059466066,0.091987224
15-Jul-21,0.114188616,0.282096686,0.05630813,0.084118138
16-Jul-21,0.113150486,0.288303571,0.060960001,0.090637645
17-Jul-21,0.111819069,0.303474656,0.058040677,0.091720761
18-Jul-21,0.112094854,0.290822314,0.057680495,0.085508358
19-Jul-21,0.115186278,0.29655669,0.05688364,0.087505381
20-Jul-21,0.113538759,0.285597547,0.061131709,0.092265118
21-Jul-21,0.11214054,0.287191053,0.058410493,0.088890053
22-Jul-21,0.110226852,0.303345566,0.056892173,0.08642507
23-Jul-21,0.112415557,0.283921641,0.058317466,0.090482584
24-Jul-21,0.108409461,0.271248265,0.060780952,0.085960414
25-Jul-21,0.116028091,0.271915254,0.062533097,0.087149923
26-Jul-21,0.109985967,0.27776901,0.061740817,0.094085167
27-Jul-21,0.108147397,0.282164047,0.059574286,0.091900989
28-Jul-21,0.106224252,0.290703399,0.060591758,0.085533645
29-Jul-21,0.105457735,0.286490109,0.061655534,0.0916299
30-Jul-21,0.11231465,0.273744266,0.056811461,0.084726533
31-Jul-21,0.101479674,0.286997345,0.058906505,0.084946971
1-Aug-21,0.106942713,0.267696579,0.057681259,0.098073711
2-Aug-21,0.110549607,0.30226342,0.058256323,0.086171081
3-Aug-21,0.105492709,0.271128986,0.06302168,0.088443274
4-Aug-21,0.11830335,0.297356781,0.060801433,0.100380768
5-Aug-21,0.110155734,0.300271479,0.057678496,0.089127156
6-Aug-21,0.104642505,0.297962239,0.059167861,0.086979147
7-Aug-21,0.114277066,0.27999841,0.05924019,0.082256999
8-Aug-21,0.11051404,0.270997487,0.059539647,0.096642373
9-Aug-21,0.109550249,0.277014175,0.061636103,0.0893388
10-Aug-21,0.101536665,0.274383001,0.063622911,0.085156303
11-Aug-21,0.116471192,0.254350379,0.05799738,0.087718694
12-Aug-21,0.094786026,0.259270327,0.062019587,0.092085271
13-Aug-21,0.106112037,0.291229419,0.061864015,0.088745706
14-Aug-21,0.103229262,0.308065347,0.057436541,0.078980198
15-Aug-21,0.113643523,0.266374693,0.058308525,0.088188952
16-Aug-21,0.114075169,0.272499895,0.065727058,0.093780815
17-Aug-21,0.113524949,0.314801671,0.063096057,0.082431369
18-Aug-21,0.104070141,0.282010958,0.058859279,0.090327112
19-Aug-21,0.114366729,0.271240013,0.058992,0.100527264
20-Aug-21,0.104903937,0.247532424,0.059220192,0.084750657
21-Aug-21,0.110670052,0.271119845,0.061670299,0.088667164
22-Aug-21,0.120039723,0.279751098,0.0582308,0.095112395
23-Aug-21,0.103641739,0.259085471,0.062091242,0.082124906
24-Aug-21,0.112865476,0.257499802,0.058860648,0.089534395
25-Aug-21,0.108083319,0.275310092,0.059597286,0.094237495
26-Aug-21,0.102666593,0.308670076,0.061157077,0.089841856
27-Aug-21,0.10794028,0.305646102,0.060629769,0.08942575
28-Aug-21,0.113480492,0.23999271,0.059532981,0.096971059
29-Aug-21,0.110502794,0.291848001,0.062967741,0.089304727
30-Aug-21,0.116064431,0.273344113,0.054019139,0.090264896
31-Aug-21,0.114837468,0.283019557,0.06181472,0.088178217
1-Sep-21,0.108012221,0.27034396,0.060763209,0.089863919
2-Sep-21,0.103158671,0.282976113,0.058789281,0.08992451
3-Sep-21,0.113503351,0.30206205,0.054667805,0.090240979
4-Sep-21,0.101275602,0.299782462,0.06200462,0.091830252
5-Sep-21,0.109736456,0.273967034,0.062061086,0.08594973
6-Sep-21,0.107627927,0.300606841,0.062979207,0.09639694
7-Sep-21,0.116161713,0.293040523,0.060580844,0.088905017
8-Sep-21,0.112659309,0.285418098,0.063176859,0.088196632
9-Sep-21,0.106885312,0.268045637,0.057064932,0.08892467
10-Sep-21,0.099295624,0.264158228,0.060651201,0.082597155
11-Sep-21,0.106178661,0.271913098,0.061925893,0.087018069
12-Sep-21,0.100757058,0.272248703,0.05781399,0.093776314
13-Sep-21,0.118961462,0.29287928,0.056721376,0.088612958
14-Sep-21,0.11278238,0.280686756,0.057301251,0.094135328
15-Sep-21,0.104382788,0.284762363,0.059478762,0.089363361
16-Sep-21,0.107140796,0.280554472,0.062235746,0.087416875
17-Sep-21,0.103686607,0.281749414,0.06556073,0.089989034
18-Sep-21,0.10755888,0.279627447,0.057875121,0.092374797
19-Sep-21,0.107014927,0.280286999,0.056605624,0.086003004
20-Sep-21,0.105707214,0.314732626,0.058891197,0.086476037
21-Sep-21,0.102739786,0.288248621,0.055731593,0.082395463
22-Sep-21,0.109535782,0.289400103,0.053069998,0.095866639
23-Sep-21,0.104822306,0.305262105,0.05934915,0.095762613
24-Sep-21,0.121769936,0.294668698,0.05962136,0.087190964
25-Sep-21,0.109758945,0.296484192,0.05847435,0.092755521
26-Sep-21,0.11059085,0.294839605,0.060452199,0.083573518
27-Sep-21,0.110437028,0.289329837,0.063471379,0.094555929
28-Sep-21,0.116938633,0.298472585,0.06233277,0.082515546
